module-method	module-index	orig-pval	revised-pvalue	num-targets	num-regulators	regulator-names	target-names	num-samples	num-genes	num-class1	num-class2
VBSR 1	104	0.0297	0.015	24	1	SMARCC1	PEG10, IFFO2, CCNK, LEO1, CS, RBM15B, UBXN2B, PRPF19, MLEC, CCDC85C, PSME3, WDR31, TXNDC5, XPO5, FARP1, MAP3K9, SPTLC2, KDM1A, EIF2D, NEK4, KHDRBS1, CCT7, CCT6A, AHSA1	35	25	20	15
VBSR 1	39	0.0198	0.016	24	2	SPI1, BCL6B	IFITM2, GSTP1, EMP3, TNFRSF1A, ICAM2, BAX, DERL3, LPAR6, FCGRT, ACP5, STAB1, CYTL1, LMO2, STARD8, SCARF1, PECAM1, GNAI2, SPNS2, MSN, CPNE2, CPXM1, ITGA5, NCAM1, TRAM2	35	26	20	15
VBSR 1	105	0.0198	0.016	59	3	SPI1, ELK3, RFX1	C1QA, C1QC, FCGR3A, CCRL2, CD4, CD68, LILRB4, TYROBP, HMOX1, CASP4, SLC7A7, IFI30, SIRPA, CD40, LAPTM5, S100A4, CSF1R, LY86, GIMAP4, LY96, MSR1, CMKLR1, RNASE6, ABI3, MILR1, RAB31, GMFG, SH3BGRL, VSIG4, MS4A4A, MS4A7, MS4A6A, CD163, C3AR1, PLEKHO2, SEMA7A, TRPV2, GNGT2, SH3KBP1, LEPR, UPP1, MDFIC, GIMAP8, OSTF1, AKR1C3, PLAU, CD33, TLR7, CLIC2, MPEG1, CLEC4A, LGALS3, CCL3L3, SIGLEC7, LMO2, PECAM1, GNG2, PRR5L, CTSB	35	62	20	15
VBSR 1	53	0.0198	0.017	33	3	SPI1, BATF2, ELK3	C1QA, C1QC, C1QB, FCHSD2, FXYD5, LILRB4, TCN2, SLC15A3, IFI30, SIRPA, CD40, VAMP5, LY96, NNMT, ABI3, SH3BGRL, ADAP2, SH3KBP1, CPNE5, C10orf128, PDE1B, CLEC2B, CTSC, LGALS3, CCL4L2, SCPEP1, MAPRE2, LAP3, HLA-A, SGK1, B2M, ICAM1, EBI3	35	36	20	15
VBSR 1	11	0.0297	0.02	28	2	ZNF770, NF1	SLC38A1, CSDE1, MGAT5, DCAF16, EIF4B, CBX5, SOCS7, USP22, CRKL, LDOC1L, YWHAG, UBXN2B, RLIM, SMCR8, TEX2, AP2B1, HNRNPF, MFAP1, ANP32A, TAF15, PTPN11, MED1, USP37, TMED8, KHDRBS1, CCT7, MSI2, CCT8	35	30	20	15
VBSR 1	55	0.0198	0.02	19	1	SMARCC1	SYT4, EFNA5, B3GALT5, ACVR1B, TMEM164, EIF4B, CS, SYTL4, PRPF19, ATXN7L3B, MLEC, GEMIN4, WDR31, C21orf33, ENO1, NUP155, AFG3L2, AHSA1, TMEM97	35	20	20	15
VBSR 1	95	0.0297	0.02	28	2	VEZF1, SMARCC1	CSDE1, CCNK, DCAF7, EIF4B, CBX5, USP22, LDOC1L, FNBP1L, GSK3B, YWHAG, GANAB, MLEC, STK35, SRSF9, PSME3, CSNK2A1, ACLY, RNF168, SPTLC2, DDX3X, SMC1A, PTPN11, HSP90AA1, MED1, PUM1, TMED8, PRR14L, CAPRIN1	35	30	20	15
VBSR 1	148	0.0198	0.02	32	1	ASCL1	CACNA2D2, RBM24, NNAT, CLDN9, FAM57B, MGAT5B, STXBP5L, PEG10, CACNA1B, SEZ6, NOL4, SYT4, SULT4A1, RIMBP2, CHGA, BRSK1, NAPB, STMN3, RTN4RL2, RPS6KL1, GGT7, PSD, MYT1, QSOX2, TUBB3, IL17RB, SLIT1, EYA3, MED14, HNRNPA3, PLCXD3, ILF3	35	33	20	15
VBSR 1	23	0.0297	0.023	39	3	SPI1, BATF2, ELK3	C1QC, C1QB, GBP2, PSMB8, ISG20, EPB41L3, LILRB4, TCN2, SLC15A3, HAPLN3, CD40, FAM212A, LY96, MSR1, NNMT, CMKLR1, ABI3, SH3BGRL, VSIG4, SLCO2B1, ADAP2, GNGT2, SH3KBP1, CPNE5, PLAU, C10orf128, LIPA, CLEC2B, GADD45B, CTSC, LAP3, CXCL9, SGK1, RARRES3, ICAM1, APOL1, APOL3, APOL2, EBI3	35	42	20	15
VBSR 1	25	0.0495	0.028	28	2	VEZF1, NF1	KIAA1147, CHAMP1, DCAF7, CBX5, NBR1, LDOC1L, KPNA6, TBC1D5, YWHAG, RGP1, TSTD2, UBFD1, RLIM, SMCR8, ACLY, TOB2, PTPN11, KITLG, MED1, PUM1, PKP4, USP37, NEK4, TMED8, CAPRIN1, ZNF704, AHSA1, MSI2	35	30	20	15
VBSR 1	128	0.0594	0.028	50	2	BATF2, ZEB2	C1QB, GBP2, CAPG, BTN3A3, HLA-F, PSMB8, IFIT3, FCHSD2, CARD16, EPB41L3, PLAUR, CECR1, HAPLN3, PSMB10, LGALS9, IFI30, SIGLEC8, SLC17A9, LXN, PAPSS2, NNMT, IFI27L2, CRIP1, HLA-DRA, HLA-DQB1, HLA-DOA, AKR1C3, PLAU, DRAM1, CTSC, OLR1, ADA, IFNAR2, PRR5L, GBP4, CXCL9, HLA-A, HLA-DRB5, SAMD9L, DUSP5, RARRES3, IL18BP, VWA5A, B2M, ICAM1, BST2, IL4I1, APOL1, APOL3, APOL2	35	52	20	15
VBSR 1	76	0.0198	0.029	23	2	SPI1, ZEB2	CD4, CNN2, EMP3, APOBEC3C, LAPTM5, DAB2, CSF1R, GIMAP1, KCTD12, ABI3, SLCO2B1, GPR68, PLEKHO2, FCGRT, SH3KBP1, PLBD1, GADD45B, STAB1, GNAI2, RASA3, SPNS2, CPXM1, TGFBI	35	25	20	15
VBSR 1	138	0.0198	0.029	29	1	SSRP1	CACNB3, SH3BP5L, KHSRP, ALKBH5, C22orf46, NUB1, YWHAG, SMARCD2, HNRNPUL2, CBX1, PATL1, HDGF, NCL, RNF168, LUC7L2, BAZ1B, SF3B3, HIRA, SMC1A, CKAP5, HNRNPM, KDM1A, ENO1, MNS1, PSMD11, MICAL2, RBMX, TMEM97, CBX2	35	30	20	15
VBSR 1	153	0.0495	0.03	35	1	ZBTB12	UNC5A, EPHA7, CDON, SYT1, FSTL4, CACNB3, SPTBN4, SH3BP5L, NT5DC3, RNF24, SLC23A2, CYB5D1, EPN2, C22orf46, BTBD9, COPG2, TULP3, UBE2G2, PGPEP1, RANGAP1, SLC22A23, EIF3CL, CBFA2T2, OTUD7B, RBBP5, EIF2D, WDR35, KIAA1324L, PSMD11, PHLPP1, PLCB4, TTI1, TRAF3IP1, MYEF2, CBX2	35	36	20	15
VBSR 1	20	0.0297	0.031	59	1	INSM1	C10orf11, RBM24, SYT13, LRFN5, LRTM2, CLDN9, FAM57B, MGAT5B, APLP1, STXBP5L, CRMP1, REEP2, MARCH11, CACNA1B, INA, C14orf132, NOVA1, RUNDC3A, SEZ6, NOL4, UNC13A, PCBP3, SULT4A1, ENO2, RIMBP2, ATP8A2, FAM155A, CHGA, AP3B2, KCNH6, MAST1, CHST8, BRSK1, CHGB, NAPB, STMN3, TIAM1, GPR173, SYN1, SYP, FGF12, NPTX2, RTN4RL2, RPS6KL1, USP11, CDK5R2, PSD, MYT1, DCLK1, TMEM63C, DISP2, TUBB3, DTNA, SLIT1, EYA3, TSPYL4, HNRNPA3, RNF187, TRIM14	35	60	20	15
VBSR 1	147	0.0396	0.032	40	2	SPI1, ELK3	TNFRSF1B, DNASE1L3, IFITM2, SLC43A3, CD4, CNN2, APOBEC3C, CASP4, SIRPA, S100A4, VAMP5, FAM212A, CSF1R, GIMAP4, GIMAP1, IFI27L2, ABI3, SH3BGRL, LPAR6, GPR68, PLEKHO2, ADAP2, GNGT2, SH3KBP1, CPNE5, GIMAP8, C10orf128, MYL12A, GADD45B, CLIC2, STAB1, LMO2, ISCU, MFNG, MSN, GAS7, CPXM1, TGFBI, MAPRE2, SULF2	35	42	20	15
VBSR 1	43	0.0396	0.033	22	2	BATF2, ZEB2	PSMB8, VMO1, PLAUR, LGALS9, RAB42, LXN, PAPSS2, HLA-DQB1, PLAU, DRAM1, IFNAR2, GBP4, CXCL9, HLA-DRB5, DUSP5, RARRES3, WARS, IL18BP, VWA5A, APOL1, APOL3, APOL2	35	24	20	15
VBSR 1	166	0.0297	0.033	33	1	SSRP1	RAB15, BEST3, KHSRP, TMEM164, ALKBH5, YWHAG, UBE2H, SMARCD2, RAB11FIP4, TEX2, RTN3, HNRNPUL2, AP2B1, CBX1, RALBP1, PATL1, KPNB1, HDGF, NCL, RNF168, NUP205, BAZ1B, SF3B3, HIRA, SMC1A, CKAP5, HNRNPM, MNS1, SMURF2, WASF1, RBMX, TMEM97, CCT8	35	34	20	15
VBSR 1	96	0.0495	0.036	69	1	INSM1	C10orf11, NAGLU, CACNA2D2, RBM24, SYT13, PRPH, LRFN5, MPP2, LRTM2, CLDN9, FAM57B, MGAT5B, APLP1, STXBP5L, CRMP1, REEP2, MARCH11, CACNA1B, INA, C14orf132, NOVA1, RUNDC3A, SEZ6, NOL4, TMEM145, UNC13A, PCBP3, SULT4A1, BACE1, ENO2, RIMBP2, ATP8A2, FAM155A, CHGA, AP3B2, KCNH6, MAST1, CHST8, BRSK1, CHGB, NAPB, STMN3, TIAM1, SYN1, SYP, FGF12, RTN4RL2, RPS6KL1, USP11, CDK5R2, PSD, MYT1, QSOX2, DCLK1, TMEM63C, DISP2, TUBB3, CDH24, SPTBN4, SLIT1, EYA3, TSPYL4, RANGAP1, TMEM57, HNRNPA3, SLC22A23, KBTBD11, CBFA2T2, TRIM14	35	70	20	15
VBSR 1	22	0.0297	0.037	51	3	SPI1, ELK3, RFX1	C1QA, FCGR3A, DOK1, CAPG, CCRL2, FCHSD2, CARD16, CD4, ANPEP, CD68, TYROBP, HMOX1, CASP4, SLC7A7, IFI30, SIRPA, LAPTM5, S100A4, VAMP5, CSF1R, LY86, GIMAP4, GLIPR2, RNASE6, IFI27L2, MILR1, GMFG, MS4A7, FOLR2, MS4A6A, C3AR1, GPR68, PLEKHO2, SEMA7A, TRPV2, GLRX, MDFIC, FGL2, OSTF1, CD33, CLIC2, MPEG1, CLEC4A, LGALS3, EVI2A, CCL3L3, SIGLEC7, GNG2, HLA-DRB5, CTSB, B2M	35	54	20	15
VBSR 1	81	0.0495	0.038	39	1	SMARCC1	RAB39A, PEG10, SLC36A4, PELI2, SYT4, BEX2, SCG3, FSTL4, SYNGR4, BEST3, B3GALT5, IL17RB, DTNA, BRD3, RBM15B, PRPF19, CEP89, WDR31, PWP2, PHF13, C21orf33, XPO5, SF3B3, KDM1A, ENO1, AHCTF1, NEK4, NUP155, PLCB4, AFG3L2, KHDRBS1, CCT7, TRAF3IP1, CCT6A, IFT81, APEX1, AHSA1, TMEM97, CCT8	35	40	20	15
VBSR 1	21	0.0396	0.039	40	1	NR1H3	SYT1, NOVA1, CELF4, ATP8A2, SHISA2, FSTL4, DCAF16, HSPA1B, ACVR1B, DNAJC14, NT5DC3, RNF24, PTTG1IP, TMEM164, CYB5D1, SYTL4, BSDC1, TGFBRAP1, UBE2H, COPG2, GEMIN4, DDI2, TMEM57, PHF10, CSNK2A1, PWP2, RNF144A, SLC22A23, KBTBD11, PPME1, C21orf33, OTUD7B, NAF1, B4GALT5, KDM1A, WDR35, NPEPPS, PLCB4, AFG3L2, RASL10B	35	41	20	15
VBSR 1	109	0.0495	0.039	17	4	EP300, NFIC, ZNF770, ZBTB12	TRIM25, SOCS7, LSM14A, CRKL, POLDIP3, MTMR1, INO80D, HNRNPF, ANP32A, TAF15, DDX3X, PTPN11, RCOR1, HSP90AA1, AHCTF1, ILF3, MSI2	35	21	20	15
VBSR 1	188	0.0495	0.039	49	2	ZNF664, SSRP1	IFFO2, ACVR1B, LEO1, DCAF7, KHSRP, CS, ALKBH5, KPNA6, FNBP1L, YWHAG, PRPF19, ATXN7L3B, SMARCD2, SRSF9, SMCR8, RAB11FIP4, RTN3, HNRNPUL2, SUDS3, CBX1, RNF144A, SRSF1, RPL3, NAF1, XPO5, NOLC1, KPNB1, NCL, NUP205, BAZ1B, SF3B3, HIRA, CKAP5, HNRNPM, KDM1A, ENO1, NUP155, MNS1, PSMD11, NPEPPS, TSR1, SMURF2, MICAL2, AFG3L2, IFT81, RBMX, APEX1, TMEM97, CCT8	35	51	20	15
VBSR 1	4	0.0495	0.04	28	2	BATF2, ELK3	C1QA, C1QC, C1QB, CD40, SUSD5, MSR1, PAPSS2, NNMT, VSIG4, SLCO2B1, ADAP2, TAX1BP3, APOE, FPR3, PLTP, HLA-DQB1, PLAU, LIPA, LYVE1, ITM2B, PDK4, GBP4, LAP3, CXCL9, SGK1, RARRES3, ICAM1, C16orf45	35	30	20	15
VBSR 1	30	0.0495	0.041	41	3	ZNF770, SSRP1, ZNF146	SLC38A1, MGAT5, KHSRP, EIF4B, CS, CTDSP2, SOCS7, LSM14A, UBXN2B, UNC119B, PGPEP1, RTN3, HNRNPUL2, SUDS3, CBX1, RALBP1, RPL3, NOLC1, FARP1, KPNB1, NCL, RNF168, NUP205, BAZ1B, MFAP1, ANP32A, SF3B3, NARS, HIRA, DKC1, CKAP5, HNRNPM, NUP155, PSMD11, KHDRBS1, CCT6A, RBMX, APEX1, TMEM97, ULK2, CCT8	35	44	20	15
VBSR 1	139	0.0396	0.041	59	2	SPI1, ELK3	C1QA, C1QC, DNASE1L3, IFITM2, CD4, MLKL, CD68, CNN2, FXYD5, EMP3, TYROBP, APOBEC3C, SLC15A3, PYCARD, SIRPA, RENBP, LAPTM5, S100A4, DAB2, CSF1R, GIMAP4, GIMAP1, GLIPR2, KCTD12, RNASE6, NTAN1, ABI3, ICAM2, RAB31, SH3BGRL, GPR68, PLEKHO2, TRPV2, ADAP2, FCGRT, CTSZ, SH3KBP1, CPNE5, UPP1, GIMAP8, C10orf128, PHF11, MYL12A, GADD45B, HCST, CLIC2, LGALS3, STAB1, LMO2, ARHGDIB, PECAM1, MFNG, CNRIP1, RASGRP3, CPXM1, CTSB, XAF1, SULF2, ITGA5	35	61	20	15
VBSR 1	121	0.0396	0.042	31	1	SSRP1	SCNN1A, CHGB, CACNB3, KHSRP, ALKBH5, YWHAG, SMARCD2, RAB11FIP4, RTN3, HNRNPUL2, AP2B1, CBX1, PATL1, KPNB1, NCL, BAZ1B, SF3B3, HIRA, HTATSF1, DKC1, CKAP5, HNRNPA1, HNRNPM, ENO1, MICAL2, WASF1, HMGB3, RBMX, TMEM97, CBX2, CCT8	35	32	20	15
VBSR 1	141	0.0594	0.042	53	3	SPI1, RFX1, ZBED2	FCGR3A, CCRL2, IL18, CCL4, LILRB4, SIGLEC1, HMOX1, CASP4, CASP1, SLC7A7, BCL2A1, CCL3, TMEM150B, LY86, LY96, MSR1, CMKLR1, IL21R, GMFG, VSIG4, MS4A4A, MS4A7, MS4A6A, CD163, C3AR1, GNGT2, SLC2A5, MDFIC, OSTF1, MRC1, PDE1B, P2RX7, CLEC2B, TNFSF13B, EPSTI1, GPR65, IGSF6, CD33, LILRB5, SAMSN1, TLR7, CYSLTR1, MPEG1, CLEC4A, CCL4L2, EVI2A, CCL3L3, SIGLEC7, GNG2, LAP3, APOBEC3G, EBI3, LPAR5	35	56	20	15
VBSR 1	203	0.0297	0.042	33	1	SMARCC1	RAVER2, SYT4, TBC1D24, EFNA5, B3GALT5, IFFO2, BRD3, SLC7A1, TMEM164, ZMYM3, RBM15B, PRPF19, CCDC85C, PSME3, WDR31, PWP2, C21orf33, XPO5, MAP3K9, SPTLC2, RCOR1, HSP90AA1, KDM1A, ENO1, RBBP5, EIF2D, AHCTF1, WDR35, LMLN, NEK4, TTI1, IFT81, AHSA1	35	34	20	15
VBSR 1	102	0.0594	0.044	24	1	ZBTB12	EGFL6, EPHA7, CDON, NAPB, NT5DC3, SLC23A2, EPN2, BTBD9, COPG2, UBE2G2, PHF13, PPME1, EIF3CL, OTUD3, RBBP5, WDR35, KIAA1324L, PSMD11, PHLPP1, PLCB4, TRAF3IP1, RPL30, IFT81, MYEF2	35	25	20	15
VBSR 1	115	0.0495	0.045	30	1	ELK3	LIPM, FAM198A, ADPRH, TNFRSF1A, RNASE1, LGMN, SLCO2B1, TAX1BP3, FPR3, PLTP, SELE, CPA3, HGF, MRC1, LIPA, LYVE1, GPR34, ITM2A, ITM2B, ASAH1, WIPI1, STARD8, PDK4, LAP3, SGK1, NAGLU, PRKCA, JAKMIP1, KCNMA1, AKT3	35	31	20	15
VBSR 1	159	0.0792	0.047	23	2	NR1H3, ZNF664	DCAF16, ACVR1B, DNAJC14, LEO1, EIF4B, CS, LDOC1L, BSDC1, TGFBRAP1, ATXN7L3B, SRSF9, DDI2, CSNK2A1, SUDS3, RNF144A, RPL3, NAF1, NOLC1, NUP155, NPEPPS, TSR1, AFG3L2, APEX1	35	25	20	15
VBSR 1	216	0.0594	0.048	58	3	SPI1, ELK3, RFX1	C1QA, C1QC, FCGR3A, CCRL2, DNASE1L3, SLC43A3, CD4, CD68, LILRB4, TYROBP, PLAUR, SIGLEC1, HMOX1, SLC7A7, IFI30, TMEM150B, LAPTM5, S100A4, NAGK, CSF1R, LY86, GIMAP4, GIMAP1, LY96, GLIPR2, RNASE6, IL21R, MILR1, GMFG, SH3BGRL, MS4A4A, MS4A7, FOLR2, MS4A6A, CD163, C3AR1, PLEKHO2, TRPV2, ADAP2, GNGT2, FCGRT, GLRX, CPNE5, UPP1, OSTF1, AKR1C3, PDE1B, CD33, LILRB5, TLR7, CLIC2, MPEG1, CLEC4A, CCL4L2, EVI2A, SIGLEC7, GNG2, CTSB	35	61	20	15
VBSR 1	42	0.0594	0.0519	15	2	EP300, ZNF664	IFFO2, KHSRP, USP22, CRKL, KPNA6, STK35, PACSIN2, SMCR8, BAZ1B, SF3B3, CKAP5, PUM1, NPEPPS, PRR14L, ILF3	35	17	20	15
VBSR 1	64	0.0594	0.0519	18	2	ELK3, NF1	CDON, CNIH2, DCAF16, BCL7A, ZMYM3, SOCS7, BTBD9, UBXN2B, TSTD2, INO80D, TAB3, OTUD3, NAF1, XPO5, MAP3K9, TTI1, MYEF2, MSI2	35	20	20	15
VBSR 1	192	0.0792	0.0549	55	3	SPI1, BATF2, ZEB2	C1QC, C1QB, GBP2, CAPG, CCRL2, TWF2, BTN3A3, PSMB8, IFIT3, CARD16, IL18, CCL4, TMEM106A, LILRB4, PLAUR, SIGLEC1, SLC15A3, GALNT6, SLC7A7, BCL2A1, HAPLN3, PYCARD, PSMB10, LGALS9, IL27RA, IFI30, SIGLEC8, TMEM150B, SLC17A9, LY96, CRIP1, CTSZ, HLA-DRA, HLA-DQB1, HLA-DOA, AKR1C3, PLAU, DRAM1, P2RX7, EPSTI1, OLR1, LGALS3, SCPEP1, IFNAR2, GBP4, HLA-A, HLA-DRB5, SAMD9L, RARRES3, WARS, IL18BP, ICAM1, APOL1, APOL3, APOL2	35	58	20	15
VBSR 1	116	0.0396	0.0569	22	2	NR1H3, ZNF664	ACVR1B, DNAJC14, TMEM164, EIF4B, LDOC1L, BSDC1, TGFBRAP1, ATXN7L3B, UNC119B, SRSF9, CSNK2A1, SUDS3, RNF144A, RPL3, NAF1, NOLC1, NUP155, NPEPPS, TSR1, AFG3L2, APEX1, ULK2	35	24	20	15
VBSR 1	103	0.0396	0.0649	27	2	SPI1, BATF2	CAPG, BTN3A3, PSMB8, IFIT3, CARD16, IL18, FXYD5, PLAUR, SLC15A3, GALNT6, HAPLN3, PSMB10, LGALS9, FTL, SIGLEC8, TMEM150B, SLC17A9, RAB42, CTSZ, HLA-DQB1, HLA-DOA, OLR1, HLA-DRB5, RARRES3, IL18BP, ICAM1, BST2	35	29	20	15
VBSR 1	46	0.0693	0.0659	37	2	SPI1, RFX1	FCGR3A, CCRL2, ANPEP, CD68, TYROBP, HMOX1, CASP4, LAPTM5, S100A4, NAGK, LY86, GLIPR2, RNASE6, MILR1, BAX, GMFG, VSIG4, MS4A4A, MS4A7, FOLR2, MS4A6A, CD163, C3AR1, TRPV2, FGL2, OSTF1, CD33, SAMSN1, TLR7, CYSLTR1, MPEG1, EVI2A, SIGLEC7, SLC37A2, CTSB, TRIM21, CDH2	35	39	20	15
VBSR 1	134	0.0594	0.0659	35	1	INSM1	C10orf11, RBM24, SYT13, LRFN5, CLDN9, MGAT5B, PLEKHG4B, MARCH11, CACNA1B, NOL4, SULT4A1, RIMBP2, CHGA, AP3B2, CHST8, CHGB, STMN3, TIAM1, SYP, FGF12, NPTX2, RPS6KL1, CDK5R2, PSD, MYT1, QSOX2, DCLK1, TMEM63C, DISP2, TUBB3, THEG, DTNA, SLIT1, TSPYL4, RNF187	35	36	20	15
VBSR 1	8	0.0297	0.0679	22	1	ZNF146	DNER, FAM168B, NT5DC3, KHSRP, CTDSP2, CYB5D1, LSM14A, BSDC1, NUB1, SMARCD2, UBE2G2, RALBP1, FAM53C, CITED2, EIF3CL, KPNB1, TBC1D16, NUP205, LUC7L2, CKAP5, TSR1, CCNJ	35	23	20	15
VBSR 1	183	0.0396	0.0679	11	1	GATA2	TUBA4A, ANPEP, SLC16A3, LDHB, COTL1, CCL8, DUSP5, SNAP25, DCDC2, NAV2, CDH2	35	12	20	15
