uniq_isos	iso_ensgs	iso_gnames	regulator
CPA2	ENSG00000158516	CPA2	0
C22orf31	ENSG00000100249	C22orf31	0
GPRC6A	ENSG00000173612	GPRC6A	0
OR5M11	ENSG00000255223	OR5M11	0
HSD17B2	ENSG00000086696	HSD17B2	0
TCL6	ENSG00000187621	TCL6	0
PCDHA8	ENSG00000204962	PCDHA8	0
FAM99A	ENSG00000281733	FAM99A	0
NPSR1	ENSG00000187258	NPSR1	0
TYRP1	ENSG00000107165	TYRP1	0
OPRK1	ENSG00000082556	OPRK1	0
COL9A1	ENSG00000112280	COL9A1	0
RTP3	ENSG00000163825	RTP3	0
PWRN1	ENSG00000259905	PWRN1	0
MCF2	ENSG00000101977	MCF2	0
MAGED4	unmapped-many	MAGED4	0
COX8C	ENSG00000277018	COX8C	0
PAEP	ENSG00000122133	PAEP	0
TP53TG3B	ENSG00000261509	TP53TG3B	0
SPATA16	ENSG00000144962	SPATA16	0
ADCYAP1R1	ENSG00000078549	ADCYAP1R1	0
SLC7A10	ENSG00000130876	SLC7A10	0
PAGE2B	ENSG00000238269	PAGE2B	0
EXD1	ENSG00000178997	EXD1	0
PCDHA9	ENSG00000204961	PCDHA9	0
PTPN5	ENSG00000110786	PTPN5	0
KIAA0408	ENSG00000189367	KIAA0408	0
FRMD1	ENSG00000153303	FRMD1	0
HSD3B2	ENSG00000203859	HSD3B2	0
CTNNA3	ENSG00000183230	CTNNA3	0
MC2R	ENSG00000185231	MC2R	0
MAEL	ENSG00000143194	MAEL	0
MAP3K15	ENSG00000180815	MAP3K15	0
C3orf72	unmapped-none	C3orf72	0
PIGR	ENSG00000162896	PIGR	0
BEST3	ENSG00000127325	BEST3	0
LOC100216001	unmapped-none	LOC100216001	0
ELMOD1	ENSG00000110675	ELMOD1	0
LCN6	ENSG00000267206	LCN6	0
PKHD1	ENSG00000170927	PKHD1	0
SLC5A12	ENSG00000148942	SLC5A12	0
C6	ENSG00000039537	C6	0
NPHS2	ENSG00000116218	NPHS2	0
OR7E5P	ENSG00000214880	OR7E5P	0
LOC152024	unmapped-none	LOC152024	0
CCDC42	ENSG00000161973	CCDC42	0
XAGE1D	unmapped-none	XAGE1D	0
LDHC	ENSG00000166796	LDHC	0
CLCN1	ENSG00000188037	CLCN1	0
BEX1	ENSG00000133169	BEX1	0
POTEB	unmapped-many	POTEB	0
PCDHA6	ENSG00000081842	PCDHA6	0
APOBEC1	ENSG00000111701	APOBEC1	0
C2orf80	ENSG00000188674	C2orf80	0
SLCO1A2	ENSG00000084453	SLCO1A2	0
AVP	ENSG00000101200	AVP	0
LOC723809	unmapped-none	LOC723809	0
HP	ENSG00000257017	HP	0
DSCR10	ENSG00000233316	DSCR10	0
ACADL	ENSG00000115361	ACADL	0
NXPH2	ENSG00000144227	NXPH2	0
PAGE1	ENSG00000068985	PAGE1	0
TSSK1B	ENSG00000212122	TSSK1B	0
SLC30A3	ENSG00000115194	SLC30A3	0
TFDP3	ENSG00000183434	TFDP3	0
DDX53	ENSG00000184735	DDX53	0
SSTR5	ENSG00000162009	SSTR5	0
PCDHA1	ENSG00000204970	PCDHA1	0
DGKB	ENSG00000136267	DGKB	0
CXXC4	ENSG00000168772	CXXC4	0
AMY1A	ENSG00000237763	AMY1A	0
PLAC1	ENSG00000170965	PLAC1	0
PPARGC1A	ENSG00000109819	PPARGC1A	0
TUBB2B	ENSG00000137285	TUBB2B	0
LOC150185	unmapped-none	LOC150185	0
XAGE3	ENSG00000171402	XAGE3	0
SCN7A	ENSG00000136546	SCN7A	0
SH2D6	ENSG00000152292	SH2D6	0
WDR72	ENSG00000166415	WDR72	0
LOC100132354	unmapped-none	LOC100132354	0
CDH8	ENSG00000150394	CDH8	0
C7	ENSG00000112936	C7	0
FRG2B	ENSG00000225899	FRG2B	0
SPOCK3	ENSG00000196104	SPOCK3	0
SLC5A5	ENSG00000105641	SLC5A5	0
PRSS30P	ENSG00000283070	PRSS30P	0
POTED	ENSG00000166351	POTED	0
LRP2	ENSG00000081479	LRP2	0
CAPN8	ENSG00000203697	CAPN8	0
ZCCHC16	ENSG00000187823	ZCCHC16	0
PCDHA5	ENSG00000204965	PCDHA5	0
ALAS2	ENSG00000158578	ALAS2	0
KIRREL2	ENSG00000126259	KIRREL2	0
VNN3	ENSG00000093134	VNN3	0
OR7C1	ENSG00000127530	OR7C1	0
SPRR2E	ENSG00000203785	SPRR2E	0
TCEAL5	ENSG00000204065	TCEAL5	0
TSG1	unmapped-none	TSG1	0
PTPN20B	unmapped-none	PTPN20B	0
SGCZ	ENSG00000185053	SGCZ	0
NMUR2	ENSG00000132911	NMUR2	0
HDC	ENSG00000140287	HDC	0
OR7G3	ENSG00000170920	OR7G3	0
PAPPA2	ENSG00000116183	PAPPA2	0
NXF4	ENSG00000196970	NXF4	0
C12orf36	unmapped-none	C12orf36	0
CNTFR	ENSG00000122756	CNTFR	0
CRYBA1	ENSG00000108255	CRYBA1	0
DPY19L2P4	ENSG00000235436	DPY19L2P4	0
SLC5A8	ENSG00000262217	SLC5A8	0
SAA2	ENSG00000134339	SAA2	0
IGF2BP1	ENSG00000159217	IGF2BP1	0
HIST1H2BI	ENSG00000278588	HIST1H2BI	0
RNF212	ENSG00000178222	RNF212	0
CCKAR	ENSG00000163394	CCKAR	0
TPPP2	ENSG00000179636	TPPP2	0
SLC7A3	ENSG00000165349	SLC7A3	0
ALOX15	ENSG00000161905	ALOX15	0
SPRR2B	ENSG00000196805	SPRR2B	0
SPDYE4	ENSG00000183318	SPDYE4	0
COLEC11	ENSG00000118004	COLEC11	0
BMP3	ENSG00000152785	BMP3	0
NHLH2	ENSG00000177551	NHLH2	1
CETN4P	ENSG00000224786	CETN4P	0
ODZ1	unmapped-none	ODZ1	0
FREM2	ENSG00000150893	FREM2	0
CADPS	ENSG00000163618	CADPS	0
PRKG2	ENSG00000138669	PRKG2	0
GPR158	ENSG00000151025	GPR158	0
MYOC	ENSG00000034971	MYOC	0
SFRP5	ENSG00000120057	SFRP5	0
CYP1A1	ENSG00000140465	CYP1A1	0
MAGEB16	ENSG00000189023	MAGEB16	0
CGB7	ENSG00000196337	CGB7	0
HAL	ENSG00000084110	HAL	0
STAR	ENSG00000147465	STAR	0
CREG2	ENSG00000175874	CREG2	0
MS4A15	ENSG00000166961	MS4A15	0
GNGT1	ENSG00000127928	GNGT1	0
RELN	ENSG00000189056	RELN	0
GLRA4	ENSG00000188828	GLRA4	0
LOC440905	unmapped-none	LOC440905	0
STK31	ENSG00000196335	STK31	0
PLCXD3	ENSG00000182836	PLCXD3	0
CHD5	ENSG00000116254	CHD5	0
CD300LG	ENSG00000161649	CD300LG	0
GNG13	ENSG00000127588	GNG13	0
SPINK5	ENSG00000133710	SPINK5	0
GYPA	ENSG00000170180	GYPA	0
OR8D1	ENSG00000196341	OR8D1	0
CLDN16	ENSG00000113946	CLDN16	0
SLC28A1	ENSG00000156222	SLC28A1	0
ASXL3	ENSG00000141431	ASXL3	0
SERPINB5	ENSG00000206075	SERPINB5	0
PPP1R1C	ENSG00000150722	PPP1R1C	0
LOC100131726	unmapped-none	LOC100131726	0
CAPN6	ENSG00000077274	CAPN6	0
ANO4	ENSG00000262139	ANO4	0
IGFBP1	ENSG00000146678	IGFBP1	0
HEPHL1	ENSG00000181333	HEPHL1	0
SFTPC	ENSG00000168484	SFTPC	0
GRM7	ENSG00000196277	GRM7	0
CTCFL	ENSG00000124092	CTCFL	1
TDGF1	ENSG00000241186	TDGF1	0
C6orf141	ENSG00000197261	C6orf141	0
MYOCD	ENSG00000141052	MYOCD	0
PROK1	ENSG00000143125	PROK1	0
FSD1	ENSG00000105255	FSD1	0
TRPM3	ENSG00000083067	TRPM3	0
ATRNL1	ENSG00000107518	ATRNL1	0
OMP	ENSG00000254550	OMP	0
VN1R2	ENSG00000196131	VN1R2	0
KCNIP1	ENSG00000182132	KCNIP1	0
RAD21L1	ENSG00000244588	RAD21L1	0
SLC34A1	ENSG00000131183	SLC34A1	0
SNAP91	ENSG00000065609	SNAP91	0
SAMD11	ENSG00000187634	SAMD11	0
LUZP2	ENSG00000187398	LUZP2	0
SLC22A11	ENSG00000168065	SLC22A11	0
COL6A4P1	ENSG00000230524	COL6A4P1	0
CALHM3	ENSG00000183128	CALHM3	0
FAM133A	ENSG00000179083	FAM133A	0
UGT2B7	ENSG00000171234	UGT2B7	0
EPHA7	ENSG00000135333	EPHA7	0
RPS6KA6	ENSG00000072133	RPS6KA6	0
MAPK4	ENSG00000282110	MAPK4	0
SLC44A5	ENSG00000137968	SLC44A5	0
CNTNAP2	ENSG00000278728	CNTNAP2	0
PCDHA2	ENSG00000204969	PCDHA2	0
SPSB4	ENSG00000175093	SPSB4	0
FXYD7	ENSG00000221946	FXYD7	0
DCAF4L2	ENSG00000176566	DCAF4L2	0
PCDHA7	ENSG00000204963	PCDHA7	0
FAM150B	ENSG00000189292	FAM150B	0
PHACTR3	ENSG00000087495	PHACTR3	0
GSDMC	ENSG00000147697	GSDMC	0
KIRREL3	ENSG00000149571	KIRREL3	0
C21orf62	ENSG00000262938	C21orf62	0
AKR1E2	ENSG00000165568	AKR1E2	0
UNC80	ENSG00000144406	UNC80	0
DHRS2	ENSG00000100867	DHRS2	0
CNTNAP3	ENSG00000106714	CNTNAP3	0
ALG1L	ENSG00000189366	ALG1L	0
GTF2A1L	ENSG00000242441	GTF2A1L	0
ZNF208	ENSG00000160321	ZNF208	1
PRAMEF8	ENSG00000283387	PRAMEF8	0
PCDHB17	unmapped-none	PCDHB17	0
FAT3	ENSG00000282908	FAT3	0
ALDOB	ENSG00000136872	ALDOB	0
UCN2	ENSG00000145040	UCN2	0
DUSP26	ENSG00000133878	DUSP26	0
LOC286467	unmapped-none	LOC286467	0
WFIKKN2	ENSG00000173714	WFIKKN2	0
PGR	ENSG00000082175	PGR	1
ADAM23	ENSG00000114948	ADAM23	0
RSPO4	ENSG00000101282	RSPO4	0
GPR148	ENSG00000173302	GPR148	0
SERPINA5	ENSG00000188488	SERPINA5	0
DMRTA1	ENSG00000176399	DMRTA1	1
GJA3	ENSG00000121743	GJA3	0
ANKRD2	ENSG00000165887	ANKRD2	0
CLDN10	ENSG00000134873	CLDN10	0
LGALS7	ENSG00000283082	LGALS7	0
SERPIND1	ENSG00000099937	SERPIND1	0
GAGE12J	ENSG00000224659	GAGE12J	0
GREB1L	ENSG00000141449	GREB1L	0
ZBTB16	ENSG00000109906	ZBTB16	1
RGAG1	ENSG00000243978	RGAG1	0
KNDC1	ENSG00000171798	KNDC1	0
GUCA1C	ENSG00000138472	GUCA1C	0
GPAT2	ENSG00000186281	GPAT2	0
THSD7B	ENSG00000144229	THSD7B	0
MAG	ENSG00000105695	MAG	0
LOC441601	ENSG00000255042	LOC441601	0
CHRM3	ENSG00000133019	CHRM3	0
MT3	ENSG00000087250	MT3	0
TUBB4A	ENSG00000104833	TUBB4A	0
ZNF385B	ENSG00000144331	ZNF385B	0
C10orf82	ENSG00000165863	C10orf82	0
NLGN1	ENSG00000169760	NLGN1	0
HIST1H3I	ENSG00000275379	HIST1H3I	0
PCDHA3	ENSG00000255408	PCDHA3	0
SMPX	ENSG00000091482	SMPX	0
INA	ENSG00000148798	INA	0
GCK	ENSG00000106633	GCK	0
LOC440461	ENSG00000267472	LOC440461	0
PIWIL3	ENSG00000184571	PIWIL3	0
ENPP6	ENSG00000164303	ENPP6	0
GPHA2	ENSG00000149735	GPHA2	0
LRRC69	ENSG00000214954	LRRC69	0
EPHA10	ENSG00000183317	EPHA10	0
SCUBE1	ENSG00000159307	SCUBE1	0
HMGA2	ENSG00000149948	HMGA2	1
CHRNA6	ENSG00000147434	CHRNA6	0
GFRA2	ENSG00000168546	GFRA2	0
NCOR1P1	ENSG00000240108	NCOR1P1	0
CYP17A1	ENSG00000148795	CYP17A1	0
GALNT13	ENSG00000144278	GALNT13	0
CACNA1I	ENSG00000100346	CACNA1I	0
ECEL1	ENSG00000171551	ECEL1	0
CNR1	ENSG00000118432	CNR1	0
PPFIA2	ENSG00000139220	PPFIA2	0
CT45A6	ENSG00000278289	CT45A6	0
C12orf53	unmapped-none	C12orf53	0
PCDHB8	ENSG00000120322	PCDHB8	0
FBN2	ENSG00000138829	FBN2	0
INHBE	ENSG00000139269	INHBE	0
KCND3	ENSG00000171385	KCND3	0
NKAIN2	ENSG00000188580	NKAIN2	0
SLC17A7	ENSG00000104888	SLC17A7	0
KIAA1456	ENSG00000250305	KIAA1456	0
COL25A1	ENSG00000188517	COL25A1	0
CYP11A1	ENSG00000140459	CYP11A1	0
ADAM18	ENSG00000278548	ADAM18	0
TNFSF14	ENSG00000125735	TNFSF14	0
EGR4	ENSG00000135625	EGR4	1
RGS7BP	ENSG00000186479	RGS7BP	0
IBSP	ENSG00000029559	IBSP	0
SNORA11E	ENSG00000221705	SNORA11E	0
CTSE	ENSG00000196188	CTSE	0
DPF1	ENSG00000011332	DPF1	0
C10orf67	ENSG00000179133	C10orf67	0
CHGB	ENSG00000089199	CHGB	0
ABCA10	ENSG00000154263	ABCA10	0
MGC16703	unmapped-none	MGC16703	0
KCNA6	unmapped-many	KCNA6	0
KIAA2022	ENSG00000050030	KIAA2022	0
LOC284276	unmapped-none	LOC284276	0
CDO1	ENSG00000129596	CDO1	0
ST8SIA2	ENSG00000140557	ST8SIA2	0
TSLP	ENSG00000145777	TSLP	0
SCN4A	ENSG00000007314	SCN4A	0
STXBP5L	ENSG00000145087	STXBP5L	0
ILDR2	ENSG00000143195	ILDR2	0
