Gene	Ensembl	regulator	Gene.synonym	Gene.description
SLC22A16	ENSG00000004809	0	CT2, FLIPT2, OAT6, OKB1	Solute carrier family 22 member 16
ZMYND10	ENSG00000004838	0	BLU, CILD22, DNAAF7	Zinc finger MYND-type containing 10
ABCB5	ENSG00000004846	0	ABCB5alpha, ABCB5beta, EST422562	ATP binding cassette subfamily B member 5
ARX	ENSG00000004848	1	CT121, EIEE1, ISSX, MRX29, MRX32, MRX33, MRX36, MRX38, MRX43, MRX54, MRX76, MRX87, MRXS1, PRTS	Aristaless related homeobox
SLC25A13	ENSG00000004864	0	ARALAR2, CITRIN, CTLN2	Solute carrier family 25 member 13
ST7	ENSG00000004866	0	ETS7q, FAM4A, FAM4A1, HELG, RAY1, SEN4, TSG7	Suppression of tumorigenicity 7
CDC27	ENSG00000004897	0	ANAPC3, APC3, D0S1430E, D17S978E, NUC2	Cell division cycle 27
SLC4A1	ENSG00000004939	0	AE1, CD233, DI, EPB3, FR, RTA1A, SW, WD, WR	Solute carrier family 4 member 1 (Diego blood group)
CALCR	ENSG00000004948	0	CTR	Calcitonin receptor
HCCS	ENSG00000004961	0	CCHL, MLS	Holocytochrome c synthase
DVL2	ENSG00000004975	0		Dishevelled segment polarity protein 2
PRSS22	ENSG00000005001	0	BSSP-4, hBSSP-4, SP001LA	Serine protease 22
UPF1	ENSG00000005007	0	HUPF1, KIAA0221, NORF1, pNORF1, RENT1, smg-2	UPF1 RNA helicase and ATPase
SKAP2	ENSG00000005020	0	RA70, SAPS, SCAP2, SKAP-HOM, SKAP55R	Src kinase associated phosphoprotein 2
SLC25A5	ENSG00000005022	0	2F1, ANT2, T2, T3	Solute carrier family 25 member 5
MCUB	ENSG00000005059	0	CCDC109B, FLJ20647	Mitochondrial calcium uniporter dominant negative subunit beta
HOXA11	ENSG00000005073	1	HOX1, HOX1I	Homeobox A11
POLR2J	ENSG00000005075	0	hRPB14, POLR2J1, RPB11, RPB11A, RPB11m	RNA polymerase II subunit J
DHX33	ENSG00000005100	0	DDX33, DKFZp762F2011, FLJ21972	DEAH-box helicase 33
MEOX1	ENSG00000005102	1	MOX1	Mesenchyme homeobox 1
THSD7A	ENSG00000005108	0	KIAA0960	Thrombospondin type 1 domain containing 7A
LIG3	ENSG00000005156	0	LIG2, LIG3alpha	DNA ligase 3
RPAP3	ENSG00000005175	0	FLJ21908, hSpagh, spag, Tah1	RNA polymerase II associated protein 3
ACSM3	ENSG00000005187	0	SA, SAH	Acyl-CoA synthetase medium chain family member 3
REXO5	ENSG00000005189	0	NEF-sp	RNA exonuclease 5
CIAPIN1	ENSG00000005194	0	Anamorsin, CIAE2	Cytokine induced apoptosis inhibitor 1
SPPL2B	ENSG00000005206	0	IMP4, KIAA1532, PSL1	Signal peptide peptidase like 2B
FAM214B	ENSG00000005238	0	bA182N22.6, FLJ11560, KIAA1539	Family with sequence similarity 214 member B
COPZ2	ENSG00000005243	0	MGC23008	COPI coat complex subunit zeta 2
PRKAR2B	ENSG00000005249	0	PRKAR2	Protein kinase cAMP-dependent type II regulatory subunit beta
MSL3	ENSG00000005302	0	MSL3L1	MSL complex subunit 3
CREBBP	ENSG00000005339	0	CBP, KAT3A, RSTS, RTS	CREB binding protein
TSPOAP1	ENSG00000005379	0	BZRAP1, KIAA0612, PRAX-1, RIM-BP1, RIMBP1	TSPO associated protein 1
MPO	ENSG00000005381	0		Myeloperoxidase
PON1	ENSG00000005421	0	ESA, PON	Paraoxonase 1
GCFC2	ENSG00000005436	0	C2orf3, DNABF, GCF, TCF9	GC-rich sequence DNA-binding factor 2
WDR54	ENSG00000005448	0	FLJ12953	WD repeat domain 54
CROT	ENSG00000005469	0	COT	Carnitine O-octanoyltransferase
ABCB4	ENSG00000005471	0	GBD1, MDR2, MDR3, PFIC-3, PGY3	ATP binding cassette subfamily B member 4
KMT2E	ENSG00000005483	0	HDCMC04P, MLL5	Lysine methyltransferase 2E (inactive)
RHBDD2	ENSG00000005486	0	NPD007, RHBDL7	Rhomboid domain containing 2
SOX8	ENSG00000005513	1		SRY-box transcription factor 8
IBTK	ENSG00000005700	0	BTBD26, BTKI, DKFZP564B116	Inhibitor of Bruton tyrosine kinase
ZNF195	ENSG00000005801	1		Zinc finger protein 195
MYCBP2	ENSG00000005810	0	FLJ10106, KIAA0916, PAM, PHR1	MYC binding protein 2
FBXL3	ENSG00000005812	0	FBL3, FBL3A, FBXL3A	F-box and leucine rich repeat protein 3
ITGAL	ENSG00000005844	0	CD11A, LFA-1	Integrin subunit alpha L
PDK2	ENSG00000005882	0	PDHK2	Pyruvate dehydrogenase kinase 2
ITGA3	ENSG00000005884	0	CD49c, GAP-B3, MSK18, VCA-2, VLA3a	Integrin subunit alpha 3
ZFX	ENSG00000005889	1	ZNF926	Zinc finger protein X-linked
LAMP2	ENSG00000005893	0	CD107b	Lysosomal associated membrane protein 2
ITGA2B	ENSG00000005961	0	CD41, CD41B, GP2B, PPP1R93	Integrin subunit alpha 2b
ASB4	ENSG00000005981	0	ASB-4	Ankyrin repeat and SOCS box containing 4
GDE1	ENSG00000006007	0	MIR16	Glycerophosphodiester phosphodiesterase 1
REX1BD	ENSG00000006015	0	C19orf60, FLJ20850, FLJ30108, FLJ34606, FLJ37391	Required for excision 1-B domain containing
CRLF1	ENSG00000006016	0	CISS, CISS1, CLF, CLF-1	Cytokine receptor like factor 1
OSBPL7	ENSG00000006025	0	MGC71150, ORP7	Oxysterol binding protein like 7
TMEM98	ENSG00000006042	0	DKFZP564K1964	Transmembrane protein 98
YBX2	ENSG00000006047	1	Contrin, CSDA3, MSY2	Y-box binding protein 2
KRT33A	ENSG00000006059	0	Ha-3I, Krt1-3, KRTHA3A	Keratin 33A
MAP3K14	ENSG00000006062	0	FTDCR1B, HS, HSNIK, NIK	Mitogen-activated protein kinase kinase kinase 14
ABCC8	ENSG00000006071	0	ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2	ATP binding cassette subfamily C member 8
CACNG3	ENSG00000006116	0		Calcium voltage-gated channel auxiliary subunit gamma 3
TMEM132A	ENSG00000006118	0	FLJ20539, GBP, HSPA5BP1	Transmembrane protein 132A
AP2B1	ENSG00000006125	0	ADTB2, CLAPB1	Adaptor related protein complex 2 subunit beta 1
TAC1	ENSG00000006128	0	NKNA, NPK, TAC2	Tachykinin precursor 1
ZNF263	ENSG00000006194	1	FPM315, ZKSCAN12, ZSCAN44	Zinc finger protein 263
CX3CL1	ENSG00000006210	0	ABCD-3, C3Xkine, CXC3, CXC3C, NTN, SCYD1	C-X3-C motif chemokine ligand 1
SPATA20	ENSG00000006282	0	FLJ21347, SSP411, Tisp78	Spermatogenesis associated 20
CACNA1G	ENSG00000006283	0	Cav3.1, NBR13	Calcium voltage-gated channel subunit alpha1 G
TNFRSF12A	ENSG00000006327	0	CD266, FN14, TweakR	TNF receptor superfamily member 12A
DLX6	ENSG00000006377	1		Distal-less homeobox 6
MAP3K9	ENSG00000006432	0	MEKK9, MLK1, PRKE1	Mitogen-activated protein kinase kinase kinase 9
RALA	ENSG00000006451	0	RAL	RAS like proto-oncogene A
BAIAP2L1	ENSG00000006453	0	IRTKS	BAR/IMD domain containing adaptor protein 2 like 1
KDM7A	ENSG00000006459	0	JHDM1D, KIAA1718	Lysine demethylase 7A
ETV1	ENSG00000006468	1	ER81	ETS variant transcription factor 1
AGK	ENSG00000006530	0	FLJ10842, MULK	Acylglycerol kinase
ALDH3B1	ENSG00000006534	0	ALDH7	Aldehyde dehydrogenase 3 family member B1
TTC22	ENSG00000006555	0	FLJ20619	Tetratricopeptide repeat domain 22
PHTF2	ENSG00000006576	1	DKFZp434D166	Putative homeodomain transcription factor 2
CCL26	ENSG00000006606	0	eotaxin-3, IMAC, MIP-4a, MIP-4alpha, SCYA26, TSC-1	C-C motif chemokine ligand 26
FARP2	ENSG00000006607	0	FIR, FRG, KIAA0793, PLEKHC3	FERM, ARH/RhoGEF and pleckstrin domain protein 2
USH1C	ENSG00000006611	0	AIE-75, DFNB18, harmonin, NY-CO-37, NY-CO-38, PDZ-73, PDZ73, PDZD7C	USH1 protein network component harmonin
GGCT	ENSG00000006625	0	C7orf24, CRF21, GCTG, Ggc, MGC3077	Gamma-glutamylcyclotransferase
DBF4	ENSG00000006634	0	ASK, chif, DBF4A, ZDBF1	DBF4 zinc finger
TBXA2R	ENSG00000006638	0		Thromboxane A2 receptor
IFRD1	ENSG00000006652	0	PC4, TIS7	Interferon related developmental regulator 1
LGALS14	ENSG00000006659	0	CLC2, PPL13	Galectin 14
COX10	ENSG00000006695	0		Cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10
GTF2IRD1	ENSG00000006704	0	BEN, Cream1, GTF3, MusTRD1, RBAP2, WBSCR11, WBSCR12	GTF2I repeat domain containing 1
PAF1	ENSG00000006712	0	F23149_1, FLJ11123, PD2	PAF1 homolog, Paf1/RNA polymerase II complex component
VPS41	ENSG00000006715	0	HVSP41	VPS41 subunit of HOPS complex
ARHGAP44	ENSG00000006740	0	KIAA0672, RICH-2, RICH2	Rho GTPase activating protein 44
ELAC2	ENSG00000006744	0	FLJ10530, HPC2	ElaC ribonuclease Z 2
SCIN	ENSG00000006747	0	KIAA1905	Scinderin
ARSD	ENSG00000006756	0		Arylsulfatase D
PNPLA4	ENSG00000006757	0	DXS1283E, GS2, iPLA2eta	Patatin like phospholipase domain containing 4
MYH13	ENSG00000006788	0	MyHC-eo	Myosin heavy chain 13
ADIPOR2	ENSG00000006831	0	ACDCR2, PAQR2	Adiponectin receptor 2
CDKL3	ENSG00000006837	0	NKIAMRE	Cyclin dependent kinase like 3
UPP2	ENSG00000007001	0	UDRPASE2, UP2, UPASE2	Uridine phosphorylase 2
PRSS21	ENSG00000007038	0	ESP-1, TEST1	Serine protease 21
MARK4	ENSG00000007047	0	FLJ90097, KIAA1860, MARKL1, Nbla00650, PAR-1D	Microtubule affinity regulating kinase 4
PROM1	ENSG00000007062	0	AC133, CD133, CORD12, MCDR2, PROML1, RP41, STGD4	Prominin 1
CCDC124	ENSG00000007080	0		Coiled-coil domain containing 124
CEACAM21	ENSG00000007129	0	FLJ13540, R29124_1	CEA cell adhesion molecule 21
PAFAH1B1	ENSG00000007168	0	LIS1, MDCR, MDS, NudF, PAFAH	Platelet activating factor acetylhydrolase 1b regulatory subunit 1
NOS2	ENSG00000007171	0	HEP-NOS, iNOS, NOS, NOS2A	Nitric oxide synthase 2
DNAH9	ENSG00000007174	0	DNAH17L, Dnahc9, DNAL1, DYH9, HL-20, HL20, KIAA0357	Dynein axonemal heavy chain 9
KIAA0100	ENSG00000007202	0	BCOX, BCOX1, CT101, DKFZp686M0843, FMP27, MGC111488	KIAA0100
SLC13A2	ENSG00000007216	0	NaDC-1	Solute carrier family 13 member 2
GAS7	ENSG00000007237	0	KIAA0394, MGC1348	Growth arrest specific 7
TRAPPC6A	ENSG00000007255	0	HSPC289, MGC2650, TRS33	Trafficking protein particle complex 6A
MATK	ENSG00000007264	0	CHK, CTK, DKFZp434N1212, HHYLTK, HYL, HYLTK, Lsk, MGC1708, MGC2101	Megakaryocyte-associated tyrosine kinase
CEACAM7	ENSG00000007306	0	CEA, CGM2	CEA cell adhesion molecule 7
CD79B	ENSG00000007312	0	B29, IGB	CD79b molecule
SCN4A	ENSG00000007314	0	HYKPP, HYPP, Nav1.4, SkM1	Sodium voltage-gated channel alpha subunit 4
ST7L	ENSG00000007341	0	FAM4B, FLJ20284, ST7R, STLR	Suppression of tumorigenicity 7 like
TKTL1	ENSG00000007350	0	TKR, TKT2	Transketolase like 1
PAX6	ENSG00000007372	1	AN, AN1, AN2, D11S812E, WAGR	Paired box 6
RPUSD1	ENSG00000007376	0	C16orf40, MGC19600, RLUCL	RNA pseudouridine synthase domain containing 1
RHBDF1	ENSG00000007384	0	C16orf8, Dist1, EGFR-RS, FLJ2235, iRhom1	Rhomboid 5 homolog 1
LUC7L	ENSG00000007392	0	hLuc7B1, Luc7, LUC7B1	LUC7 like
CACNA2D2	ENSG00000007402	0	KIAA0558	Calcium voltage-gated channel auxiliary subunit alpha2delta 2
BAIAP3	ENSG00000007516	0	BAP3, KIAA0734	BAI1 associated protein 3
TSR3	ENSG00000007520	0	C16orf42, MGC24381	TSR3 ribosome maturation factor
PIGQ	ENSG00000007541	0	GPI1, hGPI1	Phosphatidylinositol glycan anchor biosynthesis class Q
CRAMP1	ENSG00000007545	1	CRAMP1L, KIAA1426	Cramped chromatin regulator homolog 1
TEAD3	ENSG00000007866	1	ETFR-1, TEAD5, TEF-5	TEA domain transcription factor 3
SELE	ENSG00000007908	0	CD62E, ELAM, ELAM1, ESEL	Selectin E
DNAJC11	ENSG00000007923	0	FLJ10737	DnaJ heat shock protein family (Hsp40) member C11
FMO3	ENSG00000007933	0	FMOII	Flavin containing dimethylaniline monoxygenase 3
MYLIP	ENSG00000007944	0	IDOL, MIR	Myosin regulatory light chain interacting protein
NOX1	ENSG00000007952	0	GP91-2, MOX1, NOH-1, NOH1	NADPH oxidase 1
E2F2	ENSG00000007968	1	E2F-2	E2F transcription factor 2
PSMB1	ENSG00000008018	0	HC5, PMSB1	Proteasome 20S subunit beta 1
SYN1	ENSG00000008056	0	MRX50	Synapsin I
JARID2	ENSG00000008083	1	JMJ	Jumonji and AT-rich interaction domain containing 2
CDKL5	ENSG00000008086	0	CFAP247, EIEE2, STK9	Cyclin dependent kinase like 5
CAMK1G	ENSG00000008118	0	CLICKIII, dJ272L16.1, VWS1	Calcium/calmodulin dependent protein kinase IG
CDK11A	ENSG00000008128	0	CDC2L2, CDC2L3, CDK11-p110, CDK11-p46, CDK11-p58, p58GTA, PITSLRE	Cyclin dependent kinase 11A
NADK	ENSG00000008130	0	FLJ13052	NAD kinase
TFAP2B	ENSG00000008196	1	AP2-B	Transcription factor AP-2 beta
TFAP2D	ENSG00000008197	1	TFAP2BL1	Transcription factor AP-2 delta
DLEC1	ENSG00000008226	0	CFAP81, DLC1, FAP81	DLEC1 cilia and flagella associated protein
CYTH3	ENSG00000008256	0	ARNO3, cytohesin-3, GRP1, PSCD3	Cytohesin 3
ADAM22	ENSG00000008277	0	MDC2	ADAM metallopeptidase domain 22
SYPL1	ENSG00000008282	0	SYPL	Synaptophysin like 1
CYB561	ENSG00000008283	0	CYB561A1, FRRS2	Cytochrome b561
SPAG9	ENSG00000008294	0	CT89, FLJ13450, FLJ14006, FLJ26141, FLJ34602, HLC4, HSS, JIP-4, JIP4, JLP, KIAA0516, MGC117291, MGC14967, MGC74461, PHET, PIG6, SYD1	Sperm associated antigen 9
CELSR3	ENSG00000008300	0	ADGRC3, CDHF11, EGFL1, FMI1, HFMI1, MEGF2	Cadherin EGF LAG seven-pass G-type receptor 3
AASS	ENSG00000008311	0	LKRSDH, LORSDH	Aminoadipate-semialdehyde synthase
PLEKHG6	ENSG00000008323	0	FLJ10665, MYOGEF	Pleckstrin homology and RhoGEF domain containing G6
SS18L2	ENSG00000008324	0	KIAA-iso	SS18 like 2
MPND	ENSG00000008382	0	FLJ14981	MPN domain containing
MGST1	ENSG00000008394	0	GST12, MGST-I	Microsomal glutathione S-transferase 1
CRY1	ENSG00000008405	0	PHLL1	Cryptochrome circadian regulator 1
PGLYRP1	ENSG00000008438	0	PGLYRP, PGRP, PGRP-S, PGRPS, TAG7, TNFSF3L	Peptidoglycan recognition protein 1
NFIX	ENSG00000008441	1	NF1A	Nuclear factor I X
ST3GAL1	ENSG00000008513	0	SIAT4A, SIATFL, ST3GalA.1, ST3O	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
MMP25	ENSG00000008516	0	MMP20, MMPL1, MT6-MMP	Matrix metallopeptidase 25
IL32	ENSG00000008517	0	NK4, TAIF, TAIFb, TAIFd	Interleukin 32
PKD1	ENSG00000008710	0	PBP, Pc-1, TRPP1	Polycystin 1, transient receptor potential channel interacting
MAPK8IP2	ENSG00000008735	0	IB2, JIP2, PRKM8IPL	Mitogen-activated protein kinase 8 interacting protein 2
MED24	ENSG00000008838	0	CRSP100, CRSP4, DRIP100, KIAA0130, MED5, THRAP4, TRAP100	Mediator complex subunit 24
RHOBTB2	ENSG00000008853	0	DBC2, KIAA0717	Rho related BTB domain containing 2
HEATR5B	ENSG00000008869	0	DKFZp686P15184, KIAA1414	HEAT repeat containing 5B
SEC62	ENSG00000008952	0	Dtrp1, HTP1, TLOC1	SEC62 homolog, preprotein translocation factor
RPS20	ENSG00000008988	0	S20, uS10	Ribosomal protein S20
CSDE1	ENSG00000009307	0	D1S155E, UNR	Cold shock domain containing E1
UBE3C	ENSG00000009335	0	KIAA0010, KIAA10	Ubiquitin protein ligase E3C
REV3L	ENSG00000009413	0	POLZ, REV3	REV3 like, DNA directed polymerase zeta catalytic subunit
TENM1	ENSG00000009694	0	ODZ1, ODZ3, TEN-M1, TEN1, TNM	Teneurin transmembrane protein 1
PAX7	ENSG00000009709	1	Hup1	Paired box 7
MASP2	ENSG00000009724	0	MASP1P1	Mannan binding lectin serine peptidase 2
IYD	ENSG00000009765	0	C6orf71, DEHAL1, dJ422F24.1	Iodotyrosine deiodinase
FAM76A	ENSG00000009780	0	MGC34648	Family with sequence similarity 76 member A
TRAF3IP3	ENSG00000009790	0	T3JAM	TRAF3 interacting protein 3
POMT2	ENSG00000009830	0	LGMD2N	Protein O-mannosyltransferase 2
VTA1	ENSG00000009844	0	C6orf55, HSPC228, My012	Vesicle trafficking 1
MLXIPL	ENSG00000009950	1	bHLHd14, CHREBP, MIO, MONDOB, WBSCR14, WS-bHLH	MLX interacting protein like
BAZ1B	ENSG00000009954	0	WBSCR10, WBSCR9, WSTF	Bromodomain adjacent to zinc finger domain 1B
RANBP9	ENSG00000010017	0	RanBPM	RAN binding protein 9
ETV7	ENSG00000010030	1	TEL-2, TEL2	ETS variant transcription factor 7
SPRTN	ENSG00000010072	0	C1orf124, DKFZP547N043, DVC1, Spartan	SprT-like N-terminal domain
EEF1AKNMT	ENSG00000010165	0	CGI-01, DFNM1, FEAT, KIAA0859, METTL13	EEF1A lysine and N-terminal methyltransferase
DYRK4	ENSG00000010219	0		Dual specificity tyrosine phosphorylation regulated kinase 4
ZNF207	ENSG00000010244	0	BuGZ	Zinc finger protein 207
UQCRC1	ENSG00000010256	0	D3S3191, QCR1, UQCR1	Ubiquinol-cytochrome c reductase core protein 1
STARD3NL	ENSG00000010270	0	MENTHO, MGC3251	STARD3 N-terminal like
CD9	ENSG00000010278	0	BA2, MIC3, MRP-1, P24, TSPAN29	CD9 molecule
HHATL	ENSG00000010282	0	C3orf3, GUP1, KIAA1173, MBOAT3, MSTP002, OACT3	Hedgehog acyltransferase like
NCAPD2	ENSG00000010292	0	CAP-D2, CNAP1, hCAP-D2, KIAA0159	Non-SMC condensin I complex subunit D2
IFFO1	ENSG00000010295	0	HOM-TES-103, IFFO	Intermediate filament family orphan 1
GIPR	ENSG00000010310	0		Gastric inhibitory polypeptide receptor
PHF7	ENSG00000010318	0	HSPC226, NYD-SP6	PHD finger protein 7
SEMA3G	ENSG00000010319	0	FLJ00014, sem2	Semaphorin 3G
NISCH	ENSG00000010322	0	I-1, IRAS, KIAA0975	Nischarin
STAB1	ENSG00000010327	0	CLEVER-1, FEEL-1, FELE-1, FEX1, KIAA0246, SCARH2, STAB-1	Stabilin 1
FUZ	ENSG00000010361	0	CPLANE3, FLJ22688, Fy	Fuzzy planar cell polarity protein
SLC6A13	ENSG00000010379	0	GAT2	Solute carrier family 6 member 13
IDS	ENSG00000010404	0	ID2S, SIDS	Iduronate 2-sulfatase
PRSS3	ENSG00000010438	0	PRSS4, TRY3, TRY4	Serine protease 3
ZNF200	ENSG00000010539	1		Zinc finger protein 200
CD4	ENSG00000010610	0		CD4 molecule
LRRC23	ENSG00000010626	0	B7, LRPB7	Leucine rich repeat containing 23
BTK	ENSG00000010671	0	AGMX1, ATK, IMD1, PSCTK1, XLA	Bruton tyrosine kinase
HFE	ENSG00000010704	0	HFE1, HLA-H	Homeostatic iron regulator
SCMH1	ENSG00000010803	0	Scml3	Scm polycomb group protein homolog 1
FYN	ENSG00000010810	0	MGC45350, SLK, SYN	FYN proto-oncogene, Src family tyrosine kinase
HIVEP2	ENSG00000010818	1	HIV-EP2, MBP-2, MIBP1, Schnurri-2, ZAS2, ZNF40B	HIVEP zinc finger 2
FMO1	ENSG00000010932	0		Flavin containing dimethylaniline monoxygenase 1
ELOA	ENSG00000011007	0	SIII, TCEB3, TCEB3A	Elongin A
LYPLA2	ENSG00000011009	0	APT-2	Lysophospholipase 2
CLCN6	ENSG00000011021	0	CLC-6, KIAA0046	Chloride voltage-gated channel 6
MRC2	ENSG00000011028	0	CD280, CLEC13E, ENDO180, KIAA0709	Mannose receptor C type 2
NME1-NME2	ENSG00000011052	0	NM23-LV, NMELV	NME1-NME2 readthrough
SLC6A7	ENSG00000011083	0	PROT	Solute carrier family 6 member 7
TSPAN9	ENSG00000011105	0	NET-5	Tetraspanin 9
BTBD7	ENSG00000011114	0	FLJ10648, FUP1	BTB domain containing 7
APBA3	ENSG00000011132	0	mint3, X11L2	Amyloid beta precursor protein binding family A member 3
MKS1	ENSG00000011143	0	BBS13, FLJ20345, MKS, POC12	MKS transition zone complex subunit 1
ABHD5	ENSG00000011198	0	CGI-58, NCIE2	Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase
ANOS1	ENSG00000011201	0	ADMLX, KAL, KAL1, KALIG-1, WFDC19	Anosmin 1
AKAP8L	ENSG00000011243	0	HAP95, NAKAP95	A-kinase anchoring protein 8 like
MBTD1	ENSG00000011258	0	FLJ20055, SA49P01	Mbt domain containing 1
UTP18	ENSG00000011260	0	CGI-48, WDR50	UTP18 small subunit processome component
RNF216	ENSG00000011275	0	TRIAD3, UBCE7IP1, ZIN	Ring finger protein 216
TTC19	ENSG00000011295	0	FLJ20343, MGC19520	Tetratricopeptide repeat domain 19
